Named Entities,Qwen/Qwen3-VL-8B-Instruct,mistralai/Pixtral-Large-Instruct-2411,google/gemma-3-12b-it,Qwen/Qwen3-VL-32B-Instruct,google/gemma-3-27b-it,Qwen/Qwen2.5-VL-72B-Instruct-AWQ,mistralai/Pixtral-12B-2409
Acteur,0.9459459459459459,0.918918918918919,0.9459459459459459,0.9459459459459459,0.972972972972973,0.972972972972973,0.918918918918919
Affectation des sommes distribuables,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0
Benchmark,0.8823529411764706,0.8823529411764706,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.9411764705882353
Cadre réglementaire,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Code,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
Contact,0.9310344827586207,0.9310344827586207,0.9655172413793104,0.9310344827586207,0.9310344827586207,0.9655172413793104,0.9655172413793104
Couverture,0.5,0.0,0.5,0.0,0.5,0.0,0.0
Date,0.8857142857142857,0.8285714285714286,0.9428571428571428,0.9142857142857143,0.9142857142857143,0.8857142857142857,0.9428571428571428
Devise,1.0,0.9545454545454546,1.0,1.0,1.0,1.0,1.0
Directive,0.75,1.0,1.0,1.0,1.0,1.0,1.0
Durée,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.875,0.9583333333333334,0.875,0.9166666666666666
FCP maître,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fiscalité,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Fonds parapluie,1.0,0.8181818181818182,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091
Forme juridique,0.8461538461538461,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.8461538461538461,0.9230769230769231,0.7692307692307693
Frais,0.9166666666666666,0.9666666666666667,0.9333333333333333,0.9166666666666666,0.8666666666666667,0.9166666666666666,0.9166666666666666
Gestion,1.0,1.0,0.9,1.0,1.0,1.0,0.9
ISIN,1.0,1.0,1.0,1.0,1.0,1.0,0.95
Instruments,0.9090909090909091,0.9090909090909091,0.7272727272727273,0.8181818181818182,0.9090909090909091,0.9090909090909091,0.9090909090909091
Instruments financiers,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Intervalle,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Investissement,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Lieu,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Législation Financière,1.0,0.5,1.0,1.0,1.0,0.5,1.0
Modalités de souscription et rachat,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Montant,0.6666666666666666,0.8888888888888888,0.5555555555555556,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
Méthode comptable,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Nature des parts,0.25,0.5,0.5,0.5,0.25,0.25,0.25
Nom du fonds,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Notation,1.0,1.0,1.0,1.0,0.5,1.0,1.0
Objectif,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
Objectif d'investissement,0.75,1.0,0.75,0.75,0.75,0.5,0.75
Objectif de gestion,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.6666666666666666
Objectif du fonds,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Organisation,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546
Performance,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0
Produit/Fonds,1.0,0.8235294117647058,0.9411764705882353,0.8823529411764706,0.7647058823529411,0.9411764705882353,0.9411764705882353
Profil des investisseurs,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Période d'investissement,0.5,1.0,0.5,0.5,1.0,1.0,1.0
Restriction,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Risque,0.918918918918919,0.8108108108108109,0.9459459459459459,0.9459459459459459,0.9459459459459459,0.8378378378378378,0.8918918918918919
Règle d'investissement,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Scénario défavorable,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Scénario favorable (3 ans),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Scénarios de performance,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666
Société,1.0,1.0,0.75,0.75,1.0,1.0,1.0
Souscripteurs concernés,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Souscription initiale minimale,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Statut légal,0.5454545454545454,0.5454545454545454,0.2727272727272727,0.45454545454545453,0.36363636363636365,0.45454545454545453,0.45454545454545453
Stratégie d'investissement,0.5,1.0,1.0,1.0,1.0,1.0,1.0
Stratégie de couverture,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Texte réglementaire,0.5,1.0,0.5,1.0,1.0,1.0,1.0
Traitement des ordres,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Type d'investisseurs,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Type de document,0.6875,0.4375,0.375,0.875,0.8125,0.625,0.5625
Type de produit,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,0.8333333333333334
Type de produit/Fonds,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Type d’investisseur,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.5714285714285714,1.0,0.8571428571428571
WKN,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Average,0.8942115768463074,0.8782435129740519,0.8802395209580839,0.8982035928143712,0.8902195608782435,0.8902195608782435,0.8842315369261478
